id,neighbourhood,latitude,longitude,room_type,price,availability_365,minimum_nights
81158,Western Addition,37.784929999999996,-122.44618,Entire home/apt,72,262,30
81256,Excelsior,37.73072,-122.42436000000001,Private room,40,365,30
81535,Downtown/Civic Center,37.78025,-122.4131,Entire home/apt,250,307,30
83553,Outer Richmond,37.77483,-122.50952,Entire home/apt,85,365,30
84777,Castro/Upper Market,37.7586,-122.44519,Entire home/apt,77,0,2
87640,Noe Valley,37.74454,-122.42827,Private room,115,250,2
91957,Haight Ashbury,37.76194,-122.44928999999999,Entire home/apt,175,342,30
96383,Pacific Heights,37.79176,-122.42476,Private room,65,365,30
99094,Mission,37.76809,-122.42438999999999,Entire home/apt,185,0,4
102951,Chinatown,37.792970000000004,-122.40664,Shared room,30,73,30
105497,Outer Sunset,37.757540000000006,-122.49852,Private room,90,365,45
109883,West of Twin Peaks,37.733270000000005,-122.46435,Entire home/apt,120,337,2
110825,Bayview,37.71549,-122.38922,Entire home/apt,120,250,30
114401,Castro/Upper Market,37.76102,-122.43005,Private room,115,356,1
115242,North Beach,37.80591,-122.4083,Entire home/apt,120,221,30
121065,Western Addition,37.77083,-122.43109,Entire home/apt,90,0,30
126046,Haight Ashbury,37.76813,-122.44493999999999,Entire home/apt,165,365,30
128230,Castro/Upper Market,37.75887,-122.43565,Entire home/apt,350,350,3
130775,Haight Ashbury,37.76555,-122.45213000000001,Private room,56,365,32
130805,Mission,37.75586,-122.42092,Entire home/apt,97,0,30
132441,Bernal Heights,37.739740000000005,-122.42298999999998,Private room,75,179,1
134015,Marina,37.80356,-122.42589,Entire home/apt,300,0,4
134193,Inner Richmond,37.7806,-122.47596999999999,Entire home/apt,550,0,4
137129,Inner Richmond,37.7879,-122.46473999999999,Entire home/apt,594,83,7
137672,Inner Sunset,37.76463,-122.47435,Entire home/apt,150,363,30
138592,Noe Valley,37.75635,-122.42863999999999,Entire home/apt,1350,83,5
138772,Castro/Upper Market,37.75823,-122.43273,Private room,150,295,5
142177,Outer Richmond,37.78471,-122.48125,Entire home/apt,365,57,5
144043,Bernal Heights,37.745470000000005,-122.40726000000001,Private room,78,0,30
144242,Presidio Heights,37.78734,-122.46083,Entire home/apt,515,0,30
144978,Pacific Heights,37.79336,-122.42506000000002,Private room,53,365,30
147443,Diamond Heights,37.74599,-122.44532,Entire home/apt,170,289,30
148559,Castro/Upper Market,37.76787,-122.43172,Entire home/apt,275,0,5
148627,Marina,37.800940000000004,-122.4275,Entire home/apt,79,325,30
148769,Twin Peaks,37.75195,-122.44928,Entire home/apt,70,0,30
150347,Mission,37.76202,-122.41876,Entire home/apt,149,341,30
